register	pSampleID	pStart	boundary	surface	lexeme	lexemeBERT	permalink
平安-仮名文学	20-源氏1010_00035	945510	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00035,945510
平安-仮名文学	20-源氏1010_00051	554930	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00051,554930
平安-仮名文学	20-源氏1010_00053	1172620	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00053,1172620
平安-仮名文学	20-紫式1010_00001	110780	I	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,110780
平安-仮名文学	20-紫式1010_00001	139720	B	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,139720
平安-仮名文学	20-紫式1010_00001	196130	I	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,196130
平安-仮名文学	20-紫式1010_00001	225330	I	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,225330
平安-仮名文学	20-紫式1010_00001	228290	I	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,228290
平安-仮名文学	20-紫式1010_00001	341540	I	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,341540
平安-仮名文学	20-蜻蛉0974_00012	888420	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E8%9C%BB%E8%9B%890974_00012,888420
和歌集	20W古今0905_09010	219140	I	あかき	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20W%E5%8F%A4%E4%BB%8A0905_09010,219140
和歌集	20W後撰0955_07007	157670	I	あかく	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20W%E5%BE%8C%E6%92%B00955_07007,157670
鎌倉-日記・紀行	30-とは1306_05001	10600	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E3%81%A8%E3%81%AF1306_05001,10600
鎌倉-説話・随筆	30-今昔1100_11006	12680	B	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_11006,12680
鎌倉-説話・随筆	30-今昔1100_11025	1450	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_11025,1450
鎌倉-説話・随筆	30-今昔1100_12025	6430	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_12025,6430
鎌倉-説話・随筆	30-今昔1100_12025	6790	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_12025,6790
鎌倉-説話・随筆	30-今昔1100_14043	8900	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_14043,8900
鎌倉-説話・随筆	30-今昔1100_14043	9050	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_14043,9050
鎌倉-説話・随筆	30-今昔1100_16007	28580	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_16007,28580
鎌倉-説話・随筆	30-今昔1100_17042	7590	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_17042,7590
鎌倉-説話・随筆	30-今昔1100_17047	7210	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_17047,7210
鎌倉-説話・随筆	30-今昔1100_19008	6640	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_19008,6640
鎌倉-説話・随筆	30-今昔1100_19019	8060	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_19019,8060
鎌倉-説話・随筆	30-今昔1100_20002	14690	I	赤	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_20002,14690
鎌倉-説話・随筆	30-今昔1100_20007	12330	B	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_20007,12330
鎌倉-説話・随筆	30-今昔1100_20016	10860	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_20016,10860
鎌倉-説話・随筆	30-今昔1100_20016	12330	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_20016,12330
鎌倉-説話・随筆	30-今昔1100_24035	8410	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_24035,8410
鎌倉-説話・随筆	30-今昔1100_25013	23260	B	赤	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_25013,23260
鎌倉-説話・随筆	30-今昔1100_25013	23650	B	赤	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_25013,23650
鎌倉-説話・随筆	30-今昔1100_25013	23840	I	赤	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_25013,23840
鎌倉-説話・随筆	30-今昔1100_26007	15460	I	赤し	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_26007,15460
鎌倉-説話・随筆	30-今昔1100_26007	15640	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_26007,15640
鎌倉-説話・随筆	30-今昔1100_26009	14850	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_26009,14850
鎌倉-説話・随筆	30-今昔1100_27004	1890	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_27004,1890
鎌倉-説話・随筆	30-今昔1100_27004	4040	I	赤	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_27004,4040
鎌倉-説話・随筆	30-今昔1100_27009	3640	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_27009,3640
鎌倉-説話・随筆	30-今昔1100_27011	1110	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_27011,1110
鎌倉-説話・随筆	30-今昔1100_27031	8450	I	赤し	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_27031,8450
鎌倉-説話・随筆	30-今昔1100_28020	2400	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_28020,2400
鎌倉-説話・随筆	30-今昔1100_28021	1510	I	赤かり	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_28021,1510
鎌倉-説話・随筆	30-今昔1100_28021	1780	I	赤	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_28021,1780
鎌倉-説話・随筆	30-今昔1100_28031	16110	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_28031,16110
鎌倉-説話・随筆	30-今昔1100_28037	3910	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_28037,3910
